z, dz, mu, dmu
0.1453,0,39.072,0.175
0.1359,0,38.786,0.140
0.0587,0,37.117,0.139
0.0365,0,35.994,0.134
0.2775,0,41.284,0.246
0.2052,0,40.093,0.219
0.2805,0,40.559,0.184
0.1987,0,39.880,0.146
0.1600,0,39.327,0.140
0.2108,0,40.227,0.169
0.0720,0,37.271,0.138
0.2378,0,40.277,0.164
0.1414,0,39.110,0.144
0.1551,0,39.410,0.159
0.3701,0,41.337,0.251
0.0939,0,38.227,0.138
0.1186,0,38.355,0.197
0.1536,0,39.347,0.146
0.2536,0,40.453,0.186
0.1073,0,38.119,0.129
0.1296,0,38.850,0.144
0.2667,0,40.540,0.191
0.2123,0,39.930,0.156
0.2782,0,40.681,0.176
0.2454,0,40.189,0.158
0.1336,0,38.991,0.143
0.1766,0,39.712,0.148
0.1137,0,38.347,0.131
0.3204,0,40.992,0.246
0.1127,0,38.614,0.131
0.1060,0,38.294,0.129
0.3914,0,41.472,0.283
0.1558,0,39.050,0.131
0.1867,0,39.634,0.160
0.1967,0,39.981,0.168
0.1919,0,40.072,0.161
0.1908,0,39.650,0.138
0.1763,0,39.649,0.143
0.1284,0,38.766,0.136
0.1226,0,38.611,0.130
0.1272,0,38.774,0.131
0.2132,0,39.777,0.176
0.2186,0,39.933,0.156
0.2686,0,40.715,0.185
0.2047,0,39.916,0.159
0.2671,0,40.496,0.167
0.2176,0,39.939,0.178
0.2419,0,40.334,0.161
0.2935,0,40.397,0.196
0.3535,0,40.999,0.233
0.1856,0,39.570,0.148
0.2854,0,40.933,0.196
0.1949,0,39.457,0.144
0.0759,0,37.662,0.131
0.1636,0,39.199,0.151
0.2572,0,40.458,0.208
0.2196,0,39.771,0.192
0.1756,0,39.535,0.140
0.2267,0,40.076,0.183
0.1532,0,39.182,0.142
0.2103,0,39.984,0.221
0.1216,0,38.848,0.135
0.2914,0,40.719,0.196
0.2945,0,41.007,0.288
0.1646,0,39.290,0.141
0.3070,0,40.941,0.214
0.1986,0,39.916,0.161
0.2682,0,40.611,0.201
0.4013,0,41.282,0.260
0.1367,0,38.913,0.144
0.2954,0,40.719,0.268
0.2919,0,40.644,0.200
0.0901,0,37.907,0.131
0.2056,0,39.962,0.161
0.1458,0,38.917,0.137
0.1177,0,38.630,0.131
0.0550,0,36.804,0.136
0.1742,0,39.422,0.142
0.2450,0,40.405,0.187
0.2245,0,40.380,0.198
0.2456,0,40.256,0.189
0.2835,0,40.628,0.197
0.1806,0,39.701,0.178
0.1039,0,38.170,0.135
0.1296,0,39.067,0.149
0.2435,0,40.337,0.150
0.3314,0,41.202,0.262
0.2435,0,40.336,0.195
0.3147,0,40.636,0.194
0.2187,0,40.044,0.173
0.2601,0,40.767,0.204
0.2824,0,40.729,0.195
0.3004,0,40.404,0.242
0.1519,0,39.092,0.132
0.2636,0,40.313,0.189
0.2138,0,40.043,0.206
0.1628,0,39.467,0.166
0.1244,0,38.870,0.155
0.1947,0,39.498,0.165
0.2055,0,39.867,0.163
0.1067,0,38.434,0.136
0.1877,0,39.545,0.205
0.1639,0,39.345,0.154
0.2902,0,40.652,0.197
0.0940,0,38.103,0.133
0.2279,0,40.104,0.182
0.1075,0,38.453,0.139
0.3107,0,40.794,0.223
0.1456,0,39.389,0.156
0.0878,0,37.888,0.138
0.1484,0,39.038,0.150
0.2866,0,40.988,0.191
0.1228,0,38.557,0.179
0.1866,0,39.526,0.234
0.1289,0,38.741,0.153
0.1942,0,39.774,0.165
0.1480,0,39.186,0.131
0.2118,0,40.330,0.224
0.1796,0,39.472,0.143
0.2635,0,40.753,0.172
0.1922,0,39.913,0.148
0.3388,0,41.204,0.226
0.1174,0,38.610,0.135
0.1431,0,39.038,0.133
0.1604,0,39.166,0.144
0.2887,0,40.740,0.213
0.1230,0,38.634,0.162
0.2641,0,40.487,0.191
0.1261,0,38.545,0.142
0.1737,0,39.362,0.136
0.1644,0,39.271,0.137
0.2496,0,40.716,0.175
0.1600,0,39.171,0.138
0.2445,0,40.137,0.161
0.2485,0,40.163,0.167
0.2289,0,40.159,0.162
0.0853,0,37.828,0.128
0.0628,0,37.040,0.133
0.2775,0,40.743,0.235
0.2754,0,40.582,0.191
0.3305,0,41.119,0.223
0.3619,0,41.282,0.235
0.3310,0,40.911,0.241
0.1605,0,39.234,0.140
0.3002,0,40.786,0.223
0.1164,0,38.633,0.131
0.2183,0,40.039,0.155
0.1197,0,38.624,0.130
0.1547,0,39.234,0.133
0.1781,0,39.954,0.168
0.2504,0,40.581,0.163
0.2517,0,40.356,0.162
0.1295,0,38.732,0.132
0.3093,0,41.009,0.188
0.2785,0,40.739,0.180
0.1858,0,39.723,0.148
0.0665,0,37.214,0.136
0.2580,0,40.439,0.195
0.2989,0,40.976,0.221
0.2704,0,40.542,0.216
0.2792,0,40.343,0.197
0.2929,0,40.726,0.205
0.1897,0,39.626,0.152
0.2658,0,40.444,0.167
0.1238,0,38.591,0.130
0.1826,0,39.655,0.136
0.0563,0,36.908,0.134
0.3129,0,40.914,0.196
0.3092,0,41.071,0.223
0.2006,0,39.751,0.184
0.3264,0,40.945,0.205
0.2116,0,39.856,0.153
0.1797,0,39.589,0.148
0.3024,0,40.909,0.196
0.1092,0,38.441,0.136
0.0852,0,37.864,0.167
0.2023,0,39.900,0.174
0.1265,0,38.749,0.160
0.2146,0,40.106,0.156
0.3205,0,41.092,0.187
0.2184,0,40.133,0.169
0.1901,0,39.862,0.151
0.0924,0,38.062,0.159
0.3799,0,41.368,0.196
0.2113,0,39.814,0.166
0.2583,0,40.488,0.196
0.1833,0,39.495,0.169
0.2130,0,39.950,0.185
0.1165,0,38.569,0.135
0.1440,0,39.043,0.147
0.2525,0,40.380,0.215
0.2554,0,40.399,0.231
0.2170,0,40.249,0.214
1.2659,0,44.668,0.207
0.9358,0,43.520,0.216
0.0495,0,36.542,0.193
0.0303,0,35.397,0.171
0.0746,0,37.387,0.215
0.0252,0,34.914,0.219
0.0144,0,33.729,0.176
0.0208,0,34.502,0.167
0.0352,0,35.783,0.198
0.0417,0,36.438,0.197
0.0424,0,36.195,0.199
0.0189,0,34.582,0.174
0.0788,0,37.434,0.204
0.0633,0,37.318,0.202
0.0276,0,35.405,0.201
0.0493,0,36.502,0.199
0.0702,0,37.290,0.227
0.0239,0,35.018,0.171
0.0531,0,36.741,0.193
0.0250,0,34.883,0.173
0.0157,0,33.959,0.183
0.0490,0,36.250,0.163
0.0224,0,34.601,0.184
0.0349,0,35.646,0.165
0.0170,0,33.934,0.179
0.0307,0,35.504,0.168
0.0305,0,35.849,0.163
0.0106,0,33.164,0.197
0.0143,0,33.764,0.174
0.0277,0,34.900,0.170
0.0539,0,36.639,0.172
0.0177,0,33.868,0.169
0.0175,0,34.052,0.169
0.0156,0,34.096,0.168
0.0101,0,32.988,0.191
0.0549,0,36.944,0.188
0.0391,0,36.160,0.164
0.0783,0,37.624,0.171
0.0318,0,35.537,0.159
0.0144,0,33.649,0.196
0.0135,0,33.379,0.173
0.0267,0,35.258,0.179
0.0234,0,34.892,0.161
0.0369,0,36.027,0.162
0.0236,0,34.896,0.166
0.0175,0,34.101,0.170
0.0403,0,36.254,0.172
0.0304,0,35.558,0.186
0.0155,0,33.842,0.167
0.0142,0,33.632,0.176
0.0155,0,33.779,0.170
0.0156,0,33.905,0.170
0.0371,0,35.930,0.157
0.0155,0,33.901,0.170
0.0133,0,33.567,0.171
0.0146,0,33.918,0.170
0.0158,0,33.756,0.167
0.0247,0,34.744,0.167
0.0277,0,35.400,0.164
0.0109,0,33.307,0.184
0.0137,0,33.733,0.172
0.0358,0,35.597,0.173
0.0247,0,35.092,0.166
0.0381,0,35.940,0.153
0.0215,0,34.944,0.160
0.0196,0,34.640,0.162
0.0304,0,35.590,0.158
0.0392,0,36.055,0.154
0.0350,0,35.902,0.164
0.0286,0,35.240,0.169
0.0210,0,34.538,0.159
0.0325,0,35.795,0.157
0.0155,0,33.732,0.169
0.0157,0,34.047,0.161
0.0275,0,35.476,0.153
0.0469,0,36.363,0.150
0.0332,0,35.673,0.171
0.0103,0,33.030,0.189
0.0801,0,37.567,0.153
0.0123,0,33.936,0.171
0.0246,0,34.974,0.153
0.0145,0,33.819,0.167
0.0152,0,33.995,0.167
0.0291,0,35.512,0.156
0.0348,0,35.795,0.168
0.0449,0,36.466,0.117
0.0341,0,35.902,0.151
0.0749,0,37.504,0.118
0.0150,0,33.905,0.164
0.0204,0,34.589,0.157
0.0407,0,36.190,0.156
0.0266,0,35.278,0.156
0.0269,0,35.164,0.152
0.0235,0,34.920,0.157
0.0691,0,37.506,0.184
0.0652,0,37.274,0.167
0.0230,0,35.018,0.169
0.0174,0,34.287,0.158
0.0315,0,35.577,0.155
0.0112,0,33.312,0.177
0.0220,0,34.802,0.159
0.0315,0,35.717,0.154
0.0233,0,34.742,0.159
0.0204,0,34.650,0.170
0.0225,0,34.696,0.171
0.0336,0,35.828,0.154
0.0370,0,36.042,0.170
0.0226,0,35.068,0.167
0.0147,0,33.980,0.169
0.0370,0,36.002,0.135
0.0610,0,37.041,0.123
0.0593,0,36.949,0.126
0.0698,0,37.210,0.132
0.0295,0,35.363,0.164
0.0333,0,35.871,0.155
0.0242,0,34.928,0.159
0.0160,0,34.220,0.174
0.0630,0,37.043,0.174
0.0217,0,34.726,0.170
0.0316,0,35.483,0.163
0.0186,0,34.385,0.174
0.0271,0,35.127,0.154
0.0255,0,34.841,0.164
0.0238,0,35.102,0.164
0.0239,0,34.976,0.164
0.0221,0,34.848,0.158
